รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-153,Gomphrena celosioides,Gomphrena celosioides,img/plants/153.jpg,David Hoare,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/171842527
7-31170-001-154,Citrus maxima,Citrus maxima,img/plants/154.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/46345818
7-31170-001-155,Morinda citrifolia,Morinda citrifolia,img/plants/155.jpg,Kyhl Austin,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/99909871
7-31170-001-156,Heliotropium indicum,Heliotropium indicum,img/plants/156.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/131915433
7-31170-001-157,Psophocarpus tetragonolobus,Psophocarpus tetragonolobus,img/plants/157.jpg,mish mill,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/56103212
7-31170-001-158,Phaseolus lathyroides,Macroptilium lathyroides,img/plants/158.jpg,Matt Reala,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/114162116
7-31170-001-159,Nymphaea pubescens,Nymphaea pubescens,img/plants/159.jpg,Vivek.N.Rathod,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/278355138
7-31170-001-160,Passiflora edulis,Passiflora edulis,img/plants/160.jpg,Suhurab Mohamed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/106002881
7-31170-001-161,Tiliacora triandra,Tiliacora triandra,img/plants/161.jpg,Renaudsechet,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/84631897
7-31170-001-162,Salacia chinensis,Salacia chinensis,img/plants/162.jpg,shelbyfarmer,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/82093625
7-31170-001-163,Wedelia trilobata,Sphagneticola trilobata,img/plants/163.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/43898069
7-31170-001-164,Hibiscus sabdariffa,Sabdariffa gossypiifolia,img/plants/164.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/30423607
7-31170-001-165,Cymbopogon citratus,Cymbopogon citratus,img/plants/165.jpg,Yantza Farm,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/61513592
7-31170-001-166,Eleusine indica,Eleusine indica,img/plants/166.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/46240603
7-31170-001-167,Jatropha gossypifolia,Jatropha gossypiifolia,img/plants/167.jpg,Lilian Tomazelli,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/136711667
7-31170-001-168,Alpinia galanga,Alpinia galanga,img/plants/168.jpg,Jacy Chen,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/204351284
7-31170-001-169,Brachiaria ramosa,Urochloa ramosa,img/plants/169.jpg,salientia,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/44349443
